created_at,entry_id,temperature,humidity,moisture,field4
2020-09-11 01:01:34 WIB,4096,26.2,93.3,148,1854.68
2020-09-11 01:01:50 WIB,4097,26.2,93.2,128,1855.95
2020-09-11 01:02:07 WIB,4098,26.2,93.3,146,1858.11
2020-09-11 01:02:23 WIB,4099,26.2,93.3,113,1858.37
2020-09-11 01:02:39 WIB,4100,26.2,93.3,148,1856.95
2020-09-11 01:02:55 WIB,4101,26.2,93.3,121,1856.16
2020-09-11 01:03:11 WIB,4102,26.2,93.2,131,1853.26
2020-09-11 01:03:27 WIB,4103,26.2,93.3,134,1851.79
2020-09-11 01:03:43 WIB,4104,26.2,93.2,147,1852.05
2020-09-11 01:04:00 WIB,4105,26.2,93.2,124,1853.47
2020-09-11 01:04:16 WIB,4106,26.2,93.7,131,1863.26
2020-09-11 01:04:32 WIB,4107,26.2,93.7,125,1867.11
2020-09-11 01:04:48 WIB,4108,26.2,93.2,144,1865.16
2020-09-11 01:05:04 WIB,4109,26.2,93.2,129,1864
2020-09-11 01:05:20 WIB,4110,26.2,93.2,131,1862.95
2020-09-11 01:05:37 WIB,4111,26.2,93.7,150,1862
2020-09-11 01:05:53 WIB,4112,26.2,93.7,119,1861.63
2020-09-11 01:06:10 WIB,4113,26.2,93.2,138,1858.32
2020-09-11 01:06:26 WIB,4114,26.3,93.2,144,1861.74
2020-09-11 01:06:42 WIB,4115,26.2,93.2,122,1867.84
2020-09-11 01:06:58 WIB,4116,26.2,93.7,118,1870.32
2020-09-11 01:07:14 WIB,4117,26.2,93.6,125,1870.11
2020-09-11 01:07:30 WIB,4118,26.2,93.1,134,1865.58
2020-09-11 01:07:46 WIB,4119,26.2,93.6,132,1863.32
2020-09-11 01:08:02 WIB,4120, NAN, NAN,139,1857.74
2020-09-11 01:08:18 WIB,4121,26.3,93.2,154,1851
2020-09-11 01:08:35 WIB,4122,26.2,93.6,126,1847.63
2020-09-11 01:08:51 WIB,4123,26.3,93.1,104,1849.58
2020-09-11 01:09:07 WIB,4124,26.3,93.1,132,1851.42
2020-09-11 01:09:23 WIB,4125,26.3,93.2,125,1856.58
2020-09-11 01:09:40 WIB,4126, NAN, NAN,123,1857.21
2020-09-11 01:09:57 WIB,4127,26.3,93.1,144,1855.89
2020-09-11 01:10:13 WIB,4128, NAN, NAN,130,1858.37
